iter	Passed	Remaining
0	27	27519
1	55	27837
2	80	26629
3	104	26131
4	130	26003
5	161	26726
6	187	26647
7	213	26483
8	243	26759
9	272	26974
10	305	27495
11	338	27840
12	367	27937
13	397	28002
14	426	27974
15	456	28046
16	490	28361
17	521	28460
18	553	28563
19	585	28701
20	616	28735
21	652	28988
22	683	29029
23	716	29125
24	745	29091
25	855	32065
26	903	32561
27	940	32632
28	972	32571
29	1017	32904
30	1050	32845
31	1086	32861
32	1124	32946
33	1159	32935
34	1206	33278
35	1239	33183
36	1270	33064
37	1302	32969
38	1332	32838
39	1360	32662
40	1393	32590
41	1425	32513
42	1457	32436
43	1488	32346
44	1520	32267
45	1552	32191
46	1584	32134
47	1615	32050
48	1648	32001
49	1685	32017
50	1717	31952
51	1749	31893
52	1780	31814
53	1811	31741
54	1843	31674
55	1874	31592
56	1901	31458
57	1932	31387
58	1961	31290
59	1992	31222
60	2021	31123
61	2050	31028
62	2081	30960
63	2108	30836
64	2134	30707
65	2162	30602
66	2189	30483
67	2215	30359
68	2243	30269
69	2267	30130
70	2295	30036
71	2325	29979
72	2356	29923
73	2384	29834
74	2411	29747
75	2438	29649
76	2464	29536
77	2491	29451
78	2518	29366
79	2546	29286
80	2581	29285
81	2613	29255
82	2648	29263
83	2683	29263
84	2718	29261
85	2748	29212
86	2778	29158
87	2807	29097
88	2836	29029
89	2867	28991
90	2894	28914
91	2923	28850
92	2949	28770
93	2979	28720
94	3006	28638
95	3033	28565
96	3061	28501
97	3089	28434
98	3118	28377
99	3144	28300
100	3174	28251
101	3202	28193
102	3232	28153
103	3264	28121
104	3296	28100
105	3327	28065
106	3357	28019
107	3388	27983
108	3418	27945
109	3448	27904
110	3474	27825
111	3504	27784
112	3530	27716
113	3557	27648
114	3584	27587
115	3610	27515
116	3635	27440
117	3664	27392
118	3695	27362
119	3725	27316
120	3754	27273
121	3786	27251
122	3818	27229
123	3851	27207
124	3882	27174
125	3909	27116
126	3935	27053
127	3962	26997
128	3989	26933
129	4016	26882
130	4044	26832
131	4069	26760
132	4098	26717
133	4125	26661
134	4160	26658
135	4195	26653
136	4229	26642
137	4268	26662
138	4304	26665
139	4339	26655
140	4375	26658
141	4413	26668
142	4450	26669
143	4485	26662
144	4515	26628
145	4552	26628
146	4590	26637
147	4626	26635
148	4663	26636
149	4697	26621
150	4733	26616
151	4769	26609
152	4810	26629
153	4845	26620
154	4877	26588
155	4911	26574
156	4942	26537
157	4970	26486
158	4998	26441
159	5026	26388
160	5054	26338
161	5079	26277
162	5107	26228
163	5135	26179
164	5163	26131
165	5190	26076
166	5219	26036
167	5244	25972
168	5274	25935
169	5303	25893
170	5328	25832
171	5356	25784
172	5383	25736
173	5410	25683
174	5440	25647
175	5467	25596
176	5492	25540
177	5520	25492
178	5546	25437
179	5574	25393
180	5602	25349
181	5629	25299
182	5656	25251
183	5698	25271
184	5725	25222
185	5754	25181
186	5780	25131
187	5805	25074
188	5831	25024
189	5857	24969
190	5885	24927
191	5915	24892
192	5946	24864
193	5971	24807
194	5997	24760
195	6023	24710
196	6051	24667
197	6080	24629
198	6108	24585
199	6137	24551
200	6165	24507
201	6193	24468
202	6221	24424
203	6247	24379
204	6278	24347
205	6305	24304
206	6330	24251
207	6358	24212
208	6387	24175
209	6415	24134
210	6443	24096
211	6471	24052
212	6496	24005
213	6526	23972
214	6555	23935
215	6582	23893
216	6610	23853
217	6642	23828
218	6673	23800
219	6710	23791
220	6740	23759
221	6778	23756
222	6806	23717
223	6836	23682
224	6868	23656
225	6902	23638
226	6934	23612
227	6965	23585
228	6999	23564
229	7030	23536
230	7062	23509
231	7093	23480
232	7124	23452
233	7156	23428
234	7189	23405
235	7223	23384
236	7254	23356
237	7285	23324
238	7314	23291
239	7344	23256
240	7373	23221
241	7403	23188
242	7434	23159
243	7463	23125
244	7496	23100
245	7525	23067
246	7555	23033
247	7584	22999
248	7616	22973
249	7648	22945
250	7681	22921
251	7714	22898
252	7745	22868
253	7774	22833
254	7802	22795
255	7830	22757
256	7858	22718
257	7885	22677
258	7913	22639
259	7939	22597
260	7967	22559
261	7994	22519
262	8021	22477
263	8049	22439
264	8078	22406
265	8108	22375
266	8137	22339
267	8164	22300
268	8189	22254
269	8216	22214
270	8244	22179
271	8274	22146
272	8300	22104
273	8327	22063
274	8356	22030
275	8385	21995
276	8412	21956
277	8440	21921
278	8468	21884
279	8496	21848
280	8538	21846
281	8570	21822
282	8598	21784
283	8627	21751
284	8657	21718
285	8689	21692
286	8720	21664
287	8754	21642
288	8789	21624
289	8821	21598
290	8853	21570
291	8882	21536
292	8917	21516
293	8948	21488
294	8983	21468
295	9016	21444
296	9046	21413
297	9077	21383
298	9109	21356
299	9144	21336
300	9181	21321
301	9216	21301
302	9251	21280
303	9287	21263
304	9325	21250
305	9365	21240
306	9404	21229
307	9439	21209
308	9474	21187
309	9512	21171
310	9548	21153
311	9582	21129
312	9617	21109
313	9652	21087
314	9690	21071
315	9723	21047
316	9757	21023
317	9789	20995
318	9819	20963
319	9850	20931
320	9884	20908
321	9917	20883
322	9954	20864
323	9992	20849
324	10030	20833
325	10068	20817
326	10101	20789
327	10137	20769
328	10173	20748
329	10212	20735
330	10248	20714
331	10289	20702
332	10322	20676
333	10356	20650
334	10390	20626
335	10423	20599
336	10454	20568
337	10488	20542
338	10523	20518
339	10552	20484
340	10583	20453
341	10617	20427
342	10650	20401
343	10691	20388
344	10727	20366
345	10766	20351
346	10800	20324
347	10838	20306
348	10872	20281
349	10905	20252
350	10938	20224
351	10970	20194
352	11002	20165
353	11085	20229
354	11144	20248
355	11187	20238
356	11224	20216
357	11262	20196
358	11299	20175
359	11338	20156
360	11375	20135
361	11410	20109
362	11444	20083
363	11478	20056
364	11515	20034
365	11544	19997
366	11575	19964
367	11605	19930
368	11637	19900
369	11670	19871
370	11698	19834
371	11726	19795
372	11753	19756
373	11782	19721
374	11809	19682
375	11838	19647
376	11866	19610
377	11900	19582
378	11933	19553
379	11966	19523
380	11995	19488
381	12040	19479
382	12069	19444
383	12103	19416
384	12133	19382
385	12162	19347
386	12194	19315
387	12224	19281
388	12256	19251
389	12287	19218
390	12318	19187
391	12348	19153
392	12380	19122
393	12414	19093
394	12447	19065
395	12476	19030
396	12506	18995
397	12535	18960
398	12565	18927
399	12594	18891
400	12623	18856
401	12651	18819
402	12682	18787
403	12712	18754
404	12743	18722
405	12773	18688
406	12800	18650
407	12827	18612
408	12854	18574
409	12883	18540
410	12915	18509
411	12945	18476
412	12976	18444
413	13005	18408
414	13035	18376
415	13064	18341
416	13092	18304
417	13120	18267
418	13151	18236
419	13179	18200
420	13208	18165
421	13238	18132
422	13268	18098
423	13297	18064
424	13326	18029
425	13359	18001
426	13390	17968
427	13420	17935
428	13446	17897
429	13475	17862
430	13503	17827
431	13530	17789
432	13559	17755
433	13587	17720
434	13616	17685
435	13643	17648
436	13673	17615
437	13702	17581
438	13732	17548
439	13762	17515
440	13790	17480
441	13826	17455
442	13859	17425
443	13892	17397
444	13924	17366
445	13955	17334
446	13985	17302
447	14018	17272
448	14051	17243
449	14087	17218
450	14119	17187
451	14153	17159
452	14186	17129
453	14222	17104
454	14258	17079
455	14292	17050
456	14325	17021
457	14360	16994
458	14392	16964
459	14422	16930
460	14454	16900
461	14488	16872
462	14521	16842
463	14554	16813
464	14585	16780
465	14616	16749
466	14645	16715
467	14678	16686
468	14711	16656
469	14743	16625
470	14779	16599
471	14811	16568
472	14848	16543
473	14884	16517
474	14914	16484
475	14942	16448
476	14972	16416
477	15000	16380
478	15027	16345
479	15057	16311
480	15086	16278
481	15114	16242
482	15143	16209
483	15175	16178
484	15205	16145
485	15228	16105
486	15259	16073
487	15288	16039
488	15313	16002
489	15343	15969
490	15372	15936
491	15400	15901
492	15428	15866
493	15457	15832
494	15484	15797
495	15511	15761
496	15538	15726
497	15571	15696
498	15599	15662
499	15628	15628
500	15657	15594
501	15685	15560
502	15713	15525
503	15749	15499
504	15778	15466
505	15806	15431
506	15835	15398
507	15862	15362
508	15891	15329
509	15917	15293
510	15945	15259
511	15975	15226
512	16003	15192
513	16031	15157
514	16060	15124
515	16091	15093
516	16120	15060
517	16151	15028
518	16184	14999
519	16224	14976
520	16264	14953
521	16300	14926
522	16333	14896
523	16364	14865
524	16397	14835
525	16429	14804
526	16464	14777
527	16498	14749
528	16535	14722
529	16567	14691
530	16601	14663
531	16646	14643
532	16682	14617
